,run_no,predict,valid
1930,2.0,0.0,0.0
1931,2.0,0.0,0.0
1932,2.0,0.0,0.0
1933,2.0,0.0,0.0
1934,2.0,0.0,0.0
1935,2.0,0.0,0.0
1936,2.0,0.0,0.0
1937,2.0,0.0,0.0
1938,2.0,0.0,0.0
1939,2.0,0.0,0.0
1940,2.0,0.0,0.0
1941,2.0,0.0,0.0
1942,2.0,0.0,0.0
1943,2.0,0.0,0.0
1944,2.0,0.0,0.0
1945,2.0,0.0,0.0
1946,2.0,0.0,0.0
1947,2.0,0.0,0.0
1948,2.0,0.0,0.0
1949,2.0,0.0,0.0
1950,2.0,0.0,0.0
1951,2.0,0.0,0.0
1952,2.0,0.0,0.0
1953,2.0,0.0,0.0
1954,2.0,0.0,0.0
1955,2.0,0.0,0.0
1956,2.0,0.0,0.0
1957,2.0,0.0,0.0
1958,2.0,0.0,0.0
1959,2.0,0.0,0.0
1960,2.0,0.0,0.0
1961,2.0,0.0,0.0
1962,2.0,0.0,0.0
1963,2.0,0.0,0.0
1964,2.0,0.0,0.0
1965,2.0,0.0,0.0
1966,2.0,0.0,0.0
1967,2.0,0.0,0.0
1968,2.0,0.0,0.0
1969,2.0,0.0,0.0
1970,2.0,0.0,0.0
1971,2.0,0.0,0.0
1972,2.0,0.0,0.0
1973,2.0,0.0,0.0
1974,2.0,0.0,0.0
1975,2.0,0.0,0.0
1976,2.0,0.0,0.0
1977,2.0,0.0,0.0
1978,2.0,0.0,0.0
1979,2.0,0.0,0.0
1980,2.0,0.0,0.0
1981,2.0,0.0,0.0
1982,2.0,0.0,0.0
1983,2.0,0.0,0.0
1984,2.0,0.0,0.0
1985,2.0,0.0,0.0
1986,2.0,0.0,0.0
1987,2.0,0.0,0.0
1988,2.0,0.0,0.0
1989,2.0,0.0,0.0
1990,2.0,0.0,0.0
1991,2.0,0.0,0.0
1992,2.0,0.0,0.0
1993,2.0,0.0,0.0
1994,2.0,0.0,0.0
1995,2.0,0.0,0.0
1996,2.0,0.0,0.0
1997,2.0,0.0,0.0
1998,2.0,0.0,0.0
1999,2.0,0.0,0.0
2000,2.0,0.0,0.0
2001,2.0,0.0,0.0
2002,2.0,0.0,0.0
2003,2.0,0.0,0.0
2004,2.0,0.0,0.0
2005,2.0,0.0,0.0
2006,2.0,0.0,0.0
2007,2.0,0.0,0.0
2008,2.0,0.0,0.0
2009,2.0,0.0,0.0
2010,2.0,0.0,0.0
2011,2.0,0.0,0.0
2012,2.0,0.0,0.0
2013,2.0,0.0,0.0
2014,2.0,0.0,0.0
2015,2.0,0.0,0.0
2016,2.0,0.0,0.0
2017,2.0,0.0,0.0
2018,2.0,0.0,0.0
2019,2.0,0.0,0.0
2020,2.0,0.0,0.0
2021,2.0,0.0,0.0
2022,2.0,0.0,0.0
2023,2.0,0.0,0.0
2024,2.0,0.0,0.0
2025,2.0,0.0,0.0
2026,2.0,0.0,0.0
2027,2.0,0.0,0.0
2028,2.0,0.0,0.0
2029,2.0,0.0,0.0
2030,2.0,0.0,0.0
2031,2.0,0.0,0.0
2032,2.0,0.0,0.0
2033,2.0,0.0,0.0
2034,2.0,0.0,0.0
2035,2.0,0.0,0.0
2036,2.0,0.0,0.0
2037,2.0,0.0,0.0
2038,2.0,0.0,0.0
2039,2.0,0.0,0.0
2040,2.0,0.0,0.0
2041,2.0,0.0,0.0
2042,2.0,0.0,0.0
2043,2.0,0.0,0.0
2044,2.0,0.0,0.0
2045,2.0,0.0,0.0
2046,2.0,0.0,0.0
2047,2.0,0.0,0.0
2048,2.0,0.0,0.0
2049,2.0,0.0,0.0
2050,2.0,0.0,0.0
2051,2.0,0.0,0.0
2052,2.0,0.0,0.0
2053,2.0,0.0,0.0
2054,2.0,0.0,0.0
2055,2.0,0.0,0.0
2056,2.0,0.0,0.0
2057,2.0,0.0,0.0
2058,2.0,0.0,0.0
2059,2.0,0.0,0.0
2060,2.0,0.0,0.0
2061,2.0,0.0,0.0
2062,2.0,0.0,0.0
2063,2.0,0.0,0.0
2064,2.0,0.0,0.0
2065,2.0,0.0,0.0
2066,2.0,0.0,0.0
2067,2.0,0.0,0.0
2068,2.0,0.0,0.0
2069,2.0,0.0,0.0
2070,2.0,0.0,0.0
2071,2.0,0.0,0.0
2072,2.0,0.0,0.0
2073,2.0,0.0,0.0
2074,2.0,0.0,0.0
2075,2.0,0.0,0.0
2076,2.0,0.0,0.0
2077,2.0,0.0,0.0
2078,2.0,0.0,0.0
2079,2.0,0.0,0.0
2080,2.0,0.0,0.0
2081,2.0,0.0,0.0
2082,2.0,0.0,0.0
2083,2.0,0.0,0.0
2084,2.0,0.0,0.0
2085,2.0,0.0,0.0
2086,2.0,0.0,0.0
2087,2.0,0.0,0.0
2088,2.0,0.0,0.0
2089,2.0,0.0,0.0
2090,2.0,0.0,0.0
2091,2.0,0.0,0.0
2092,2.0,0.0,0.0
2093,2.0,0.0,0.0
2094,2.0,0.0,0.0
2095,2.0,0.0,0.0
2096,2.0,0.0,0.0
2097,2.0,0.0,0.0
2098,2.0,0.0,0.0
2099,2.0,0.0,0.0
2100,2.0,0.0,0.0
2101,2.0,0.0,0.0
2102,2.0,0.0,0.0
2103,2.0,0.0,0.0
2104,2.0,0.0,0.0
2105,2.0,0.0,0.0
2106,2.0,0.0,0.0
2107,2.0,0.0,0.0
2108,2.0,0.0,0.0
2109,2.0,0.0,0.0
2110,2.0,0.0,0.0
2111,2.0,0.0,0.0
2112,2.0,0.0,0.0
2113,2.0,0.0,0.0
2114,2.0,0.0,0.0
2115,2.0,0.0,0.0
2116,2.0,0.0,0.0
2117,2.0,0.0,0.0
2118,2.0,0.0,0.0
2119,2.0,0.0,0.0
2120,2.0,0.0,0.0
2121,2.0,0.0,0.0
2122,2.0,0.0,0.0
2123,2.0,0.0,0.0
2124,2.0,0.0,0.0
2125,2.0,0.0,0.0
2126,2.0,0.0,0.0
2127,2.0,0.0,0.0
2128,2.0,0.0,0.0
2129,2.0,0.0,0.0
2130,2.0,0.0,0.0
2131,2.0,0.0,0.0
2132,2.0,0.0,0.0
2133,2.0,0.0,0.0
2134,2.0,0.0,0.0
2135,2.0,0.0,0.0
2136,2.0,0.0,0.0
2137,2.0,0.0,0.0
2138,2.0,0.0,0.0
2139,2.0,0.0,0.0
2140,2.0,0.0,0.0
2141,2.0,0.0,0.0
2142,2.0,0.0,0.0
2143,2.0,0.0,0.0
2144,2.0,0.0,0.0
2145,2.0,0.0,0.0
2146,2.0,0.0,0.0
2147,2.0,0.0,0.0
2148,2.0,0.0,0.0
2149,2.0,0.0,0.0
2150,2.0,0.0,0.0
2151,2.0,0.0,0.0
2152,2.0,0.0,0.0
2153,2.0,0.0,0.0
2154,2.0,0.0,0.0
2155,2.0,0.0,0.0
2156,2.0,0.0,0.0
2157,2.0,0.0,0.0
2158,2.0,0.0,0.0
2159,2.0,0.0,0.0
2160,2.0,0.0,0.0
2161,2.0,0.0,0.0
2162,2.0,0.0,0.0
2163,2.0,0.0,0.0
2164,2.0,0.0,0.0
2165,2.0,0.0,0.0
2166,2.0,0.0,0.0
2167,2.0,0.0,0.0
2168,2.0,0.0,0.0
2169,2.0,0.0,0.0
2170,2.0,0.0,0.0
2171,2.0,0.0,0.0
2172,2.0,0.0,0.0
2173,2.0,0.0,0.0
2174,2.0,0.0,0.0
2175,2.0,0.0,0.0
2176,2.0,0.0,0.0
2177,2.0,0.0,0.0
2178,2.0,0.0,0.0
2179,2.0,0.0,0.0
2180,2.0,0.0,0.0
2181,2.0,0.0,0.0
2182,2.0,0.0,0.0
2183,2.0,0.0,0.0
2184,2.0,0.0,0.0
2185,2.0,0.0,0.0
2186,2.0,0.0,0.0
2187,2.0,0.0,0.0
2188,2.0,0.0,0.0
2189,2.0,0.0,0.0
2190,2.0,0.0,0.0
2191,2.0,0.0,0.0
2192,2.0,0.0,0.0
2193,2.0,0.0,0.0
2194,2.0,0.0,0.0
2195,2.0,0.0,0.0
2196,2.0,0.0,0.0
2197,2.0,0.0,0.0
2198,2.0,0.0,0.0
2199,2.0,0.0,0.0
2200,2.0,0.0,0.0
2201,2.0,0.0,0.0
2202,2.0,0.0,0.0
2203,2.0,0.0,0.0
2204,2.0,0.0,0.0
2205,2.0,0.0,0.0
2206,2.0,0.0,0.0
2207,2.0,0.0,0.0
2208,2.0,0.0,0.0
2209,2.0,0.0,0.0
2210,2.0,0.0,0.0
2211,2.0,0.0,0.0
2212,2.0,0.0,0.0
2213,2.0,0.0,0.0
2214,2.0,0.0,0.0
2215,2.0,0.0,0.0
2216,3.0,0.0,0.0
2217,3.0,0.0,0.0
2218,3.0,0.0,0.0
2219,3.0,0.0,0.0
2220,3.0,0.0,0.0
2221,3.0,0.0,0.0
2222,3.0,0.0,0.0
2223,3.0,0.0,0.0
2224,3.0,0.0,0.0
2225,3.0,0.0,0.0
2226,3.0,0.0,0.0
2227,3.0,0.0,0.0
2228,3.0,0.0,0.0
2229,3.0,0.0,0.0
2230,3.0,0.0,0.0
2231,3.0,0.0,0.0
2232,3.0,0.0,0.0
2233,3.0,0.0,0.0
2234,3.0,0.0,0.0
2235,3.0,0.0,0.0
2236,3.0,0.0,0.0
2237,3.0,0.0,0.0
2238,3.0,0.0,0.0
2239,3.0,0.0,0.0
2240,3.0,0.0,0.0
2241,3.0,0.0,0.0
2242,3.0,0.0,0.0
2243,3.0,0.0,0.0
2244,3.0,0.0,0.0
2245,3.0,0.0,0.0
2246,3.0,0.0,0.0
2247,3.0,0.0,0.0
2248,3.0,0.0,0.0
2249,3.0,0.0,0.0
2250,3.0,0.0,0.0
2251,3.0,0.0,0.0
2252,3.0,0.0,0.0
2253,3.0,0.0,0.0
2254,3.0,0.0,0.0
2255,3.0,0.0,0.0
2256,3.0,0.0,0.0
2257,3.0,0.0,0.0
2258,3.0,0.0,0.0
2259,3.0,0.0,0.0
2260,3.0,0.0,0.0
2261,3.0,0.0,0.0
2262,3.0,0.0,0.0
2263,3.0,0.0,0.0
2264,3.0,0.0,0.0
2265,3.0,0.0,0.0
2266,3.0,0.0,0.0
2267,3.0,0.0,0.0
2268,3.0,0.0,0.0
2269,3.0,0.0,0.0
2270,3.0,0.0,0.0
2271,3.0,0.0,0.0
2272,3.0,0.0,0.0
2273,3.0,0.0,0.0
2274,3.0,0.0,0.0
2275,3.0,0.0,0.0
2276,3.0,0.0,0.0
2277,3.0,0.0,0.0
2278,3.0,0.0,0.0
2279,3.0,0.0,0.0
2280,3.0,0.0,0.0
2281,3.0,0.0,0.0
2282,3.0,0.0,0.0
2283,3.0,0.0,0.0
2284,3.0,0.0,0.0
2285,3.0,0.0,0.0
2286,3.0,0.0,0.0
2287,3.0,0.0,0.0
2288,3.0,0.0,0.0
2289,3.0,0.0,0.0
2290,3.0,0.0,0.0
2291,3.0,0.0,0.0
2292,3.0,0.0,0.0
2293,3.0,0.0,0.0
2294,3.0,0.0,0.0
2295,3.0,0.0,0.0
2296,3.0,0.0,0.0
2297,3.0,0.0,0.0
2298,3.0,0.0,0.0
2299,3.0,0.0,0.0
2300,3.0,0.0,0.0
2301,3.0,0.0,0.0
2302,3.0,0.0,0.0
2303,3.0,0.0,0.0
2304,3.0,0.0,0.0
2305,3.0,0.0,0.0
2306,3.0,0.0,0.0
2307,3.0,0.0,0.0
2308,3.0,0.0,0.0
2309,3.0,0.0,0.0
2310,3.0,0.0,0.0
2311,3.0,0.0,0.0
2312,3.0,0.0,0.0
2313,3.0,0.0,0.0
2314,3.0,0.0,0.0
2315,3.0,0.0,0.0
2316,3.0,0.0,0.0
2317,3.0,0.0,0.0
2318,3.0,0.0,0.0
2319,3.0,0.0,0.0
2320,3.0,0.0,0.0
2321,3.0,0.0,0.0
2322,3.0,0.0,0.0
2323,3.0,0.0,0.0
2324,3.0,0.0,0.0
2325,3.0,0.0,0.0
2326,3.0,0.0,0.0
2327,3.0,0.0,0.0
2328,3.0,0.0,0.0
2329,3.0,0.0,0.0
2330,3.0,0.0,0.0
2331,3.0,0.0,0.0
2332,3.0,0.0,0.0
2333,3.0,0.0,0.0
2334,3.0,0.0,0.0
2335,3.0,0.0,0.0
2336,3.0,0.0,0.0
2337,3.0,0.0,0.0
2338,3.0,0.0,0.0
2339,3.0,0.0,0.0
2340,3.0,0.0,0.0
2341,3.0,0.0,0.0
2342,3.0,0.0,0.0
2343,3.0,0.0,0.0
2344,3.0,0.0,0.0
2345,3.0,0.0,0.0
2346,3.0,0.0,0.0
2347,3.0,0.0,0.0
2348,3.0,0.0,0.0
2349,3.0,0.0,0.0
2350,3.0,0.0,0.0
2351,3.0,0.0,0.0
2352,3.0,0.0,0.0
2353,3.0,0.0,0.0
2354,3.0,0.0,0.0
2355,3.0,0.0,0.0
2356,3.0,0.0,0.0
2357,3.0,0.0,0.0
2358,3.0,0.0,0.0
2359,3.0,0.0,0.0
2360,3.0,0.0,0.0
2361,3.0,0.0,0.0
2362,3.0,0.0,0.0
2363,3.0,0.0,0.0
2364,3.0,0.0,0.0
2365,3.0,0.0,0.0
2366,3.0,0.0,0.0
2367,3.0,0.0,0.0
2368,3.0,0.0,0.0
2369,3.0,0.0,0.0
2370,3.0,0.0,0.0
2371,3.0,0.0,0.0
2372,3.0,0.0,0.0
2373,3.0,0.0,0.0
2374,3.0,0.0,0.0
2375,3.0,0.0,0.0
2376,3.0,0.0,0.0
2377,3.0,0.0,0.0
2378,3.0,0.0,0.0
2379,3.0,0.0,0.0
2380,3.0,0.0,0.0
2381,3.0,0.0,0.0
2382,3.0,0.0,0.0
2383,3.0,0.0,0.0
2384,3.0,0.0,0.0
2385,3.0,0.0,0.0
2386,3.0,0.0,0.0
2387,3.0,0.0,0.0
2388,3.0,0.0,0.0
2389,3.0,0.0,0.0
2390,3.0,0.0,0.0
2391,3.0,0.0,0.0
2392,3.0,0.0,0.0
2393,3.0,0.0,0.0
2394,3.0,0.0,0.0
2395,3.0,0.0,0.0
2396,3.0,0.0,0.0
2397,3.0,0.0,0.0
2398,3.0,0.0,0.0
2399,3.0,0.0,0.0
2400,3.0,0.0,0.0
2401,3.0,0.0,0.0
2402,3.0,0.0,0.0
2403,3.0,0.0,0.0
2404,3.0,0.0,0.0
2405,3.0,0.0,0.0
2406,3.0,0.0,0.0
2407,3.0,0.0,0.0
2408,3.0,0.0,0.0
2409,3.0,0.0,0.0
2410,3.0,0.0,0.0
2411,3.0,0.0,0.0
2412,3.0,0.0,0.0
2413,3.0,0.0,0.0
2414,3.0,0.0,0.0
2415,3.0,0.0,0.0
2416,3.0,0.0,0.0
2417,3.0,0.0,0.0
2418,3.0,0.0,0.0
2419,3.0,0.0,0.0
2420,3.0,0.0,0.0
2421,3.0,0.0,0.0
2422,3.0,0.0,0.0
2423,3.0,0.0,0.0
2424,3.0,0.0,0.0
2425,3.0,0.0,0.0
2426,3.0,0.0,0.0
2427,3.0,0.0,0.0
2428,3.0,0.0,0.0
2429,3.0,0.0,0.0
2430,3.0,0.0,0.0
2431,3.0,0.0,0.0
2432,3.0,0.0,0.0
2433,3.0,0.0,0.0
2434,3.0,0.0,0.0
2435,3.0,0.0,0.0
2436,3.0,0.0,0.0
2437,3.0,0.0,0.0
2438,3.0,0.0,0.0
2439,3.0,0.0,0.0
2440,3.0,0.0,0.0
2441,3.0,0.0,0.0
2442,3.0,0.0,0.0
2443,3.0,0.0,0.0
2444,3.0,0.0,0.0
2445,3.0,0.0,0.0
2446,3.0,0.0,0.0
2447,3.0,0.0,0.0
2448,3.0,0.0,0.0
2449,3.0,0.0,0.0
2450,3.0,0.0,0.0
2451,3.0,0.0,0.0
2452,3.0,0.0,0.0
2453,3.0,0.0,0.0
2454,3.0,0.0,0.0
2455,3.0,0.0,0.0
2456,3.0,0.0,0.0
2457,3.0,0.0,0.0
2458,3.0,0.0,0.0
2459,3.0,0.0,0.0
2460,3.0,0.0,0.0
2461,3.0,0.0,0.0
2462,3.0,0.0,0.0
2463,3.0,0.0,0.0
2464,3.0,0.0,0.0
2465,3.0,0.0,0.0
2466,3.0,0.0,0.0
2467,3.0,0.0,0.0
2468,3.0,0.0,0.0
2469,3.0,0.0,0.0
2470,3.0,0.0,0.0
2471,3.0,0.0,0.0
2472,3.0,0.0,0.0
2473,3.0,0.0,0.0
2474,3.0,0.0,0.0
2475,3.0,0.0,0.0
2476,3.0,0.0,0.0
2477,3.0,0.0,0.0
2478,3.0,0.0,0.0
2479,3.0,0.0,0.0
2480,3.0,0.0,0.0
2481,3.0,0.0,0.0
2482,3.0,0.0,0.0
2483,3.0,0.0,0.0
2484,3.0,0.0,0.0
2485,3.0,0.0,0.0
2486,3.0,0.0,0.0
2487,3.0,0.0,0.0
2488,3.0,0.0,0.0
2489,3.0,0.0,0.0
2490,3.0,0.0,0.0
2491,3.0,0.0,0.0
2492,3.0,0.0,0.0
2493,3.0,0.0,0.0
2494,3.0,0.0,0.0
2495,3.0,0.0,0.0
2496,3.0,0.0,0.0
2497,3.0,0.0,0.0
2498,3.0,0.0,0.0
2499,3.0,0.0,0.0
2500,3.0,0.0,0.0
2501,3.0,0.0,0.0
2502,3.0,0.0,0.0
2503,3.0,0.0,0.0
2504,3.0,0.0,0.0
2505,3.0,0.0,0.0
2506,3.0,0.0,0.0
2507,3.0,0.0,0.0
2508,3.0,0.0,0.0
2509,3.0,0.0,0.0
2510,3.0,0.0,0.0
2511,3.0,0.0,0.0
2512,3.0,0.0,0.0
2513,3.0,0.0,0.0
2514,3.0,0.0,0.0
2515,3.0,0.0,0.0
2516,3.0,0.0,0.0
2517,3.0,0.0,0.0
2518,3.0,0.0,0.0
2519,3.0,0.0,0.0
2520,3.0,0.0,0.0
2521,3.0,0.0,0.0
2522,3.0,0.0,0.0
2523,3.0,0.0,0.0
2524,3.0,0.0,0.0
2525,3.0,0.0,0.0
2526,3.0,0.0,0.0
2527,3.0,0.0,0.0
2528,3.0,0.0,0.0
2529,3.0,0.0,0.0
2530,3.0,0.0,0.0
2531,3.0,0.0,0.0
2532,3.0,0.0,0.0
2533,3.0,0.0,0.0
2534,3.0,0.0,0.0
2535,3.0,0.0,0.0
2536,3.0,0.0,0.0
2537,3.0,0.0,0.0
2538,3.0,0.0,0.0
2539,3.0,0.0,0.0
2540,3.0,0.0,0.0
2541,3.0,0.0,0.0
2542,3.0,0.0,0.0
2543,3.0,0.0,0.0
2544,3.0,0.0,0.0
2545,3.0,0.0,0.0
2546,3.0,0.0,0.0
2547,3.0,0.0,0.0
2548,3.0,0.0,0.0
2549,3.0,0.0,0.0
2550,3.0,0.0,0.0
2551,3.0,0.0,0.0
2552,3.0,0.0,0.0
2553,3.0,0.0,0.0
2554,3.0,0.0,0.0
2555,3.0,0.0,0.0
2556,3.0,0.0,0.0
2557,3.0,0.0,0.0
2558,3.0,0.0,0.0
2559,3.0,0.0,0.0
2560,3.0,0.0,0.0
2561,3.0,0.0,0.0
2562,3.0,0.0,0.0
2563,3.0,0.0,0.0
2564,3.0,0.0,0.0
2565,3.0,0.0,0.0
2566,3.0,0.0,0.0
2567,3.0,0.0,0.0
2568,3.0,0.0,0.0
2569,3.0,0.0,0.0
2570,3.0,0.0,0.0
2571,3.0,0.0,0.0
2572,3.0,0.0,0.0
2573,3.0,0.0,0.0
2574,3.0,0.0,0.0
2575,3.0,0.0,0.0
2576,3.0,0.0,0.0
2577,3.0,0.0,0.0
2578,3.0,0.0,0.0
2579,3.0,0.0,0.0
2580,3.0,0.0,0.0
2581,3.0,0.0,0.0
2582,3.0,0.0,0.0
2583,3.0,0.0,0.0
2584,3.0,0.0,0.0
2585,3.0,0.0,0.0
2586,3.0,0.0,0.0
2587,3.0,0.0,0.0
2588,3.0,0.0,0.0
2589,3.0,0.0,0.0
2590,3.0,0.0,0.0
2591,3.0,0.0,0.0
2592,3.0,0.0,0.0
2593,3.0,0.0,0.0
2594,3.0,0.0,0.0
2595,3.0,0.0,0.0
2596,3.0,0.0,0.0
2597,3.0,0.0,0.0
2598,3.0,0.0,0.0
2599,3.0,0.0,0.0
2600,3.0,0.0,0.0
2601,3.0,0.0,0.0
2602,3.0,0.0,0.0
2603,3.0,0.0,0.0
2604,3.0,0.0,0.0
2605,3.0,0.0,0.0
2606,3.0,0.0,0.0
2607,3.0,0.0,0.0
2608,3.0,0.0,0.0
2609,3.0,0.0,0.0
2610,3.0,0.0,0.0
2611,3.0,0.0,0.0
2612,3.0,0.0,0.0
2613,3.0,0.0,0.0
2614,3.0,0.0,0.0
2615,3.0,0.0,0.0
2616,3.0,0.0,0.0
2617,3.0,0.0,0.0
2618,3.0,0.0,0.0
2619,3.0,0.0,0.0
2620,3.0,0.0,0.0
2621,3.0,0.0,0.0
2622,3.0,0.0,0.0
2623,3.0,0.0,0.0
2624,3.0,0.0,0.0
2625,3.0,0.0,0.0
2626,3.0,0.0,0.0
2627,3.0,0.0,0.0
2628,3.0,0.0,0.0
2629,3.0,0.0,0.0
2630,3.0,0.0,0.0
2631,3.0,0.0,0.0
2632,3.0,0.0,0.0
2633,3.0,0.0,0.0
2634,3.0,0.0,0.0
2635,3.0,0.0,0.0
2636,3.0,0.0,0.0
2637,3.0,0.0,0.0
2638,3.0,0.0,0.0
2639,3.0,0.0,0.0
2640,3.0,0.0,0.0
2641,3.0,0.0,0.0
2642,3.0,0.0,0.0
2643,3.0,0.0,0.0
2644,3.0,0.0,0.0
2645,3.0,0.0,0.0
2646,3.0,0.0,0.0
2647,3.0,0.0,0.0
2648,3.0,0.0,0.0
2649,3.0,0.0,0.0
2650,3.0,0.0,0.0
2651,3.0,0.0,0.0
2652,3.0,0.0,0.0
2653,3.0,0.0,0.0
2654,3.0,0.0,0.0
2655,3.0,0.0,0.0
2656,3.0,0.0,0.0
2657,3.0,0.0,0.0
2658,3.0,0.0,0.0
2659,3.0,0.0,0.0
2660,3.0,0.0,0.0
2661,3.0,0.0,0.0
2662,3.0,0.0,0.0
2663,3.0,0.0,0.0
2664,3.0,0.0,0.0
2665,3.0,0.0,0.0
2666,3.0,0.0,0.0
2667,3.0,0.0,0.0
2668,3.0,0.0,0.0
2669,3.0,0.0,0.0
2670,3.0,0.0,0.0
2671,3.0,0.0,0.0
2672,3.0,0.0,0.0
2673,3.0,0.0,0.0
2674,3.0,0.0,0.0
2675,3.0,0.0,0.0
2676,3.0,0.0,0.0
2677,3.0,0.0,0.0
2678,3.0,0.0,0.0
2679,3.0,0.0,0.0
2680,3.0,0.0,0.0
2681,3.0,0.0,0.0
2682,3.0,0.0,0.0
2683,3.0,0.0,0.0
2684,3.0,0.0,0.0
2685,3.0,0.0,0.0
2686,3.0,0.0,0.0
2687,3.0,0.0,0.0
2688,3.0,0.0,0.0
2689,3.0,0.0,0.0
2690,3.0,0.0,0.0
2691,3.0,0.0,0.0
2692,3.0,0.0,0.0
2693,3.0,0.0,0.0
2694,3.0,0.0,0.0
2695,3.0,0.0,0.0
2696,3.0,0.0,0.0
2697,3.0,0.0,0.0
2698,3.0,0.0,0.0
2699,3.0,0.0,0.0
2700,3.0,0.0,0.0
2701,3.0,0.0,0.0
2702,3.0,0.0,0.0
2703,3.0,0.0,0.0
2704,3.0,0.0,0.0
2705,3.0,0.0,0.0
2706,3.0,0.0,0.0
2707,3.0,0.0,0.0
2708,3.0,0.0,0.0
2709,3.0,0.0,0.0
2710,3.0,0.0,0.0
2711,3.0,0.0,0.0
2712,3.0,0.0,0.0
2713,3.0,0.0,0.0
2714,3.0,0.0,0.0
2715,3.0,0.0,0.0
2716,3.0,0.0,0.0
2717,3.0,0.0,0.0
2718,3.0,0.0,0.0
2719,3.0,0.0,0.0
2720,3.0,0.0,0.0
2721,3.0,0.0,0.0
2722,3.0,0.0,0.0
2723,3.0,0.0,0.0
2724,3.0,0.0,0.0
2725,3.0,0.0,0.0
2726,3.0,0.0,0.0
2727,3.0,0.0,0.0
2728,3.0,0.0,0.0
2729,3.0,0.0,0.0
2730,3.0,0.0,0.0
2731,3.0,0.0,0.0
2732,3.0,0.0,0.0
2733,3.0,0.0,0.0
2734,3.0,0.0,0.0
2735,3.0,0.0,0.0
2736,3.0,0.0,0.0
2737,3.0,0.0,0.0
2738,3.0,0.0,0.0
2739,3.0,0.0,0.0
2740,3.0,0.0,0.0
2741,3.0,0.0,0.0
2742,3.0,0.0,0.0
2743,3.0,0.0,0.0
2744,3.0,0.0,0.0
2745,3.0,0.0,0.0
2746,3.0,0.0,0.0
2747,3.0,0.0,0.0
2748,3.0,0.0,0.0
2749,3.0,0.0,0.0
2750,3.0,0.0,0.0
2751,3.0,0.0,0.0
2752,3.0,0.0,0.0
2753,3.0,0.0,0.0
2754,3.0,0.0,0.0
2755,3.0,0.0,0.0
2756,3.0,0.0,0.0
2757,3.0,0.0,0.0
2758,3.0,0.0,0.0
2759,3.0,0.0,0.0
2760,3.0,0.0,0.0
2761,3.0,0.0,0.0
2762,3.0,0.0,0.0
2763,3.0,0.0,0.0
2764,3.0,0.0,0.0
2765,3.0,0.0,0.0
2766,3.0,0.0,0.0
2767,3.0,0.0,0.0
2768,3.0,0.0,0.0
2769,3.0,0.0,0.0
2770,3.0,0.0,0.0
2771,3.0,0.0,0.0
2772,3.0,0.0,0.0
2773,3.0,0.0,0.0
2774,3.0,0.0,0.0
2775,3.0,0.0,0.0
2776,3.0,0.0,0.0
2777,3.0,0.0,0.0
2778,3.0,0.0,0.0
2779,3.0,0.0,0.0
2780,3.0,0.0,0.0
2781,3.0,0.0,0.0
2782,3.0,0.0,0.0
2783,3.0,0.0,0.0
2784,3.0,0.0,0.0
2785,3.0,0.0,0.0
2786,3.0,0.0,0.0
2787,3.0,0.0,0.0
2788,3.0,0.0,0.0
2789,3.0,0.0,0.0
2790,3.0,0.0,0.0
2791,3.0,0.0,0.0
2792,3.0,0.0,0.0
2793,3.0,0.0,0.0
2794,3.0,0.0,0.0
2795,3.0,0.0,0.0
2796,3.0,0.0,0.0
2797,3.0,0.0,0.0
2798,3.0,0.0,0.0
2799,3.0,0.0,0.0
2800,3.0,0.0,0.0
2801,3.0,0.0,0.0
2802,3.0,0.0,0.0
2803,3.0,0.0,0.0
2804,3.0,0.0,0.0
2805,3.0,0.0,0.0
2806,3.0,0.0,0.0
2807,3.0,0.0,0.0
2808,3.0,0.0,0.0
2809,3.0,0.0,0.0
2810,3.0,0.0,0.0
2811,3.0,0.0,0.0
2812,3.0,0.0,0.0
2813,3.0,0.0,0.0
2814,3.0,0.0,0.0
2815,3.0,0.0,0.0
2816,3.0,0.0,0.0
2817,3.0,0.0,0.0
2818,3.0,0.0,0.0
2819,3.0,0.0,0.0
2820,3.0,0.0,0.0
2821,3.0,0.0,0.0
2822,3.0,0.0,0.0
2823,3.0,0.0,0.0
2824,3.0,0.0,0.0
2825,3.0,0.0,0.0
2826,3.0,0.0,0.0
2827,3.0,0.0,0.0
2828,3.0,0.0,0.0
2829,3.0,0.0,0.0
2830,3.0,0.0,0.0
2831,3.0,0.0,0.0
2832,3.0,0.0,0.0
2833,3.0,0.0,0.0
2834,3.0,0.0,0.0
2835,3.0,0.0,0.0
2836,3.0,0.0,0.0
2837,3.0,0.0,0.0
2838,3.0,0.0,0.0
2839,3.0,0.0,0.0
2840,3.0,0.0,0.0
2841,3.0,0.0,0.0
2842,3.0,0.0,0.0
2843,3.0,0.0,0.0
2844,3.0,0.0,0.0
2845,3.0,0.0,0.0
2846,3.0,0.0,0.0
2847,3.0,0.0,0.0
2848,3.0,0.0,0.0
2849,3.0,0.0,0.0
2850,3.0,0.0,0.0
2851,3.0,0.0,0.0
2852,3.0,0.0,0.0
2853,3.0,0.0,0.0
2854,3.0,0.0,0.0
2855,3.0,0.0,0.0
2856,3.0,0.0,0.0
2857,3.0,0.0,0.0
2858,3.0,0.0,0.0
2859,3.0,0.0,0.0
2860,3.0,0.0,0.0
2861,3.0,0.0,0.0
